study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studytext.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,testText.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,Ke_s,keys,old,keys,[0.001388888888888889],[-0.29305555555555557],[1],[0],[0],[4.583776700077578],['text_3'],,,,,0,0,0,8,21.9832354,,,,,,,,21.9692682,21.9832354,21.9832354,21.9832354,0.0161097,26.5533501,keys,[0.001388888888888889],[-0.29305555555555557],[1],[0],[0],[4.583776700077578],['text_3'],4,1,2025-10-16_10h00.58.292,word priming,,2025.1.1,59.98267698,2025-10-16 10h01.31.125417 +0530
,1,1,0,,,P_nc_l,Pencil,new,pencil,[0.004166666666666667],[-0.30694444444444446],[1],[0],[0],[5.845734599977732],['text_3'],,,,,0,1,1,17,26.5833836,,,,,,,,26.5586803,26.5833836,26.5833836,26.5833836,0.005172,32.4047807,pencil,[0.004166666666666667],[-0.30694444444444446],[1],[0],[0],[5.845734599977732],['text_3'],4,1,2025-10-16_10h00.58.292,word priming,,2025.1.1,59.98267698,2025-10-16 10h01.31.125417 +0530
,2,2,0,,,c_se,Case,old,case,[0.058333333333333334],[-0.30694444444444446],[1],[0],[0],[3.7782527001108974],['text_3'],,,,,0,2,2,5,32.4341309,,,,,,,,32.4085309,32.4341309,32.4341309,32.4341309,0.0035644,36.1871542,case,[0.058333333333333334],[-0.30694444444444446],[1],[0],[0],[3.7782527001108974],['text_3'],4,1,2025-10-16_10h00.58.292,word priming,,2025.1.1,59.98267698,2025-10-16 10h01.31.125417 +0530
,3,3,0,,,_us_io_,Cushion,old,cushion,"[-0.011111111111111112, -0.001388888888888889]","[-0.3416666666666667, -0.31805555555555554]","[1, 1]","[0, 0]","[0, 0]","[5.412265700055286, 6.382735199993476]","[None, 'text_3']",,,,,0,3,3,15,36.2017238,,,,,,,,36.1914326,36.2017238,36.2017238,36.2017238,0.0040822,42.5745488,cushion,"[-0.011111111111111112, -0.001388888888888889]","[-0.3416666666666667, -0.31805555555555554]","[1, 1]","[0, 0]","[0, 0]","[5.412265700055286, 6.382735199993476]","[None, 'text_3']",4,1,2025-10-16_10h00.58.292,word priming,,2025.1.1,59.98267698,2025-10-16 10h01.31.125417 +0530
,4,4,0,,,M_us_,Mouse,new,mouse,[0.002777777777777778],[-0.30416666666666664],[1],[0],[0],[3.256143399979919],['text_3'],,,,,0,4,4,11,42.6009202,,,,,,,,42.5811048,42.6009202,42.6009202,42.6009202,0.0063894,45.8376202,mouse,[0.002777777777777778],[-0.30416666666666664],[1],[0],[0],[3.256143399979919],['text_3'],4,1,2025-10-16_10h00.58.292,word priming,,2025.1.1,59.98267698,2025-10-16 10h01.31.125417 +0530
,5,5,0,,,R_ng,Ring,new,ring,[0.06944444444444445],[-0.29583333333333334],[1],[0],[0],[4.395926899975166],['text_3'],,,,,0,5,5,22,45.8678362,,,,,,,,45.8435333,45.8678362,45.8678362,45.8678362,0.0057875,50.2398349,ring,[0.06944444444444445],[-0.29583333333333334],[1],[0],[0],[4.395926899975166],['text_3'],4,1,2025-10-16_10h00.58.292,word priming,,2025.1.1,59.98267698,2025-10-16 10h01.31.125417 +0530
,6,6,0,,,_ru_se,cruise,old,cruise,[0.06944444444444445],[-0.30277777777777776],[1],[0],[0],[9.628618699964136],['text_3'],,,,,0,6,6,6,50.2683379,,,,,,,,50.2438681,50.2683379,50.2683379,50.2683379,0.0038594,59.8728854,cruise,[0.06944444444444445],[-0.30277777777777776],[1],[0],[0],[9.628618699964136],['text_3'],4,1,2025-10-16_10h00.58.292,word priming,,2025.1.1,59.98267698,2025-10-16 10h01.31.125417 +0530
,7,7,0,,,C_r,Car,new,car,[0.06944444444444445],[-0.30277777777777776],[1],[0],[0],[3.194819000083953],['text_3'],,,,,0,7,7,23,59.9020225,,,,,,,,59.8762364,59.9020225,59.9020225,59.9020225,0.0032244,63.0714056,car,[0.06944444444444445],[-0.30277777777777776],[1],[0],[0],[3.194819000083953],['text_3'],4,1,2025-10-16_10h00.58.292,word priming,,2025.1.1,59.98267698,2025-10-16 10h01.31.125417 +0530
,8,8,0,,,v_se,Vase,old,vase,[0.043055555555555555],[-0.3194444444444444],[1],[0],[0],[5.514957000035793],['text_3'],,,,,0,8,8,18,63.0872109,,,,,,,,63.0740983,63.0872109,63.0872109,63.0872109,0.0025822,68.5893968,vase,[0.043055555555555555],[-0.3194444444444444],[1],[0],[0],[5.514957000035793],['text_3'],4,1,2025-10-16_10h00.58.292,word priming,,2025.1.1,59.98267698,2025-10-16 10h01.31.125417 +0530
,9,9,0,,,P_on_,Phone,old,phone,[0.043055555555555555],[-0.3138888888888889],[1],[0],[0],[5.746771099977195],['text_3'],,,,,0,9,9,13,68.6189668,,,,,,,,68.5929353,68.6189668,68.6189668,68.6189668,0.0034144,74.3400883,phone,[0.043055555555555555],[-0.3138888888888889],[1],[0],[0],[5.746771099977195],['text_3'],4,1,2025-10-16_10h00.58.292,word priming,,2025.1.1,59.98267698,2025-10-16 10h01.31.125417 +0530
