study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,trials_2.textbox.text,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,studytext.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,testText.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,10,10,0,,,_ha_t,chart,chart,old,chart,[0.029166666666666667],[-0.3138888888888889],[1],[0],[0],[4.212797400075942],['text_3'],,,,,0,10,10,1,93.9717803,,,,,,,,93.9464394,93.9717803,93.9717803,93.9717803,0.0034122,98.1596731,chart,[0.029166666666666667],[-0.3138888888888889],[1],[0],[0],[4.212797400075942],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,11,11,0,,,Sl_e_e,Sleeve,sleeve,new,sleeve,[0.025],[-0.2861111111111111],[1],[0],[0],[8.793137399945408],['text_3'],,,,,0,11,11,21,98.1887188,,,,,,,,98.165244,98.1887188,98.1887188,98.1887188,0.0053692,106.9588294,sleeve,[0.025],[-0.2861111111111111],[1],[0],[0],[8.793137399945408],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,12,12,0,,,P_on_,Phone,phone,old,phone,[0.025],[-0.2861111111111111],[1],[0],[0],[7.747049400117248],['text_3'],,,,,0,12,12,13,106.9737458,,,,,,,,106.9622681,106.9737458,106.9737458,106.9737458,0.003296,114.7097662,phone,[0.025],[-0.2861111111111111],[1],[0],[0],[7.747049400117248],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,13,13,0,,,v_se,Vase,vase,old,vase,[0.025],[-0.2861111111111111],[1],[0],[0],[3.1620544001925737],['text_3'],,,,,0,13,13,18,114.7396006,,,,,,,,114.7137794,114.7396006,114.7396006,114.7396006,0.0038537,117.8762538,vase,[0.025],[-0.2861111111111111],[1],[0],[0],[3.1620544001925737],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,14,14,0,,,T_bl_,Table,table,new,table,[0.025],[-0.2861111111111111],[1],[0],[0],[3.26320659997873],['text_3'],,,,,0,14,14,16,117.8908063,,,,,,,,117.8795705,117.8908063,117.8908063,117.8908063,0.0032203,121.1432035,table,[0.025],[-0.2861111111111111],[1],[0],[0],[3.26320659997873],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,15,15,0,,,M_us_,Mouse,mouse,new,mouse,[0.025],[-0.2861111111111111],[1],[0],[0],[3.0804734001867473],['text_3'],,,,,0,15,15,11,121.1733198,,,,,,,,121.1468472,121.1733198,121.1733198,121.1733198,0.0034846,124.2277434,mouse,[0.025],[-0.2861111111111111],[1],[0],[0],[3.0804734001867473],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,16,16,0,,,T_hi_t,T-shirt,tshirt,old,tshirt,[0.025],[-0.2861111111111111],[1],[0],[0],[3.2447238999884576],['text_3'],,,,,0,16,16,2,124.2570273,,,,,,,,124.2312111,124.2570273,124.2570273,124.2570273,0.0033456,127.4763815,tshirt,[0.025],[-0.2861111111111111],[1],[0],[0],[3.2447238999884576],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,17,17,0,,,_us_io_,Cushion,cushion,old,cushion,[0.025],[-0.2861111111111111],[1],[0],[0],[6.779053499922156],['text_3'],,,,,0,17,17,15,127.5069144,,,,,,,,127.4804291,127.5069144,127.5069144,127.5069144,0.0038711,134.2599384,cushion,[0.025],[-0.2861111111111111],[1],[0],[0],[6.779053499922156],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,18,18,0,,,c_se,Case,case,old,case,[0.025],[-0.2861111111111111],[1],[0],[0],[3.5965109998360276],['text_3'],,,,,0,18,18,5,134.2757293,,,,,,,,134.2632592,134.2757293,134.2757293,134.2757293,0.003197,137.8602734,case,[0.025],[-0.2861111111111111],[1],[0],[0],[3.5965109998360276],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,19,19,0,,,C_r,Car,car,new,car,[0.025],[-0.2861111111111111],[1],[0],[0],[2.8798392000608146],['text_3'],,,,,0,19,19,23,137.8757563,,,,,,,,137.8638686,137.8757563,137.8757563,137.8757563,0.0034693,140.7441588,car,[0.025],[-0.2861111111111111],[1],[0],[0],[2.8798392000608146],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,20,20,0,,,P_st_r,poster,poster,old,poster,[0.025],[-0.2861111111111111],[1],[0],[0],[3.629562399815768],['text_3'],,,,,0,20,20,9,140.7743267,,,,,,,,140.7475421,140.7743267,140.7743267,140.7743267,0.0032488,144.3775553,poster,[0.025],[-0.2861111111111111],[1],[0],[0],[3.629562399815768],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,21,21,0,,,B__k,Book,book,old,book,[0.025],[-0.2861111111111111],[1],[0],[0],[3.000365700107068],['text_3'],,,,,0,21,21,14,144.408786,,,,,,,,144.3811344,144.408786,144.408786,144.408786,0.0034348,147.3819748,book,[0.025],[-0.2861111111111111],[1],[0],[0],[3.000365700107068],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,22,22,0,,,P_li_e,police,police,old,police,[0.009722222222222222],[-0.3236111111111111],[1],[0],[0],[4.375093799782917],['text_3'],,,,,0,22,22,7,147.4080358,,,,,,,,147.385833,147.4080358,147.4080358,147.4080358,0.0037059,151.7613463,police,[0.009722222222222222],[-0.3236111111111111],[1],[0],[0],[4.375093799782917],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,23,23,0,,,_o_se,Mouse,mouse,old,mouse,[-0.018055555555555554],[-0.31805555555555554],[1],[0],[0],[9.082112399861217],['text_3'],,,,,0,23,23,3,151.7766064,,,,,,,,151.7644167,151.7766064,151.7766064,151.7766064,0.0029744,160.8469811,mouse,[-0.018055555555555554],[-0.31805555555555554],[1],[0],[0],[9.082112399861217],['text_3'],2,1,2025-10-13_13h41.59.329,word priming,,2025.1.1,60.30057424,2025-10-13 13h42.07.644354 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,prop hit from study list,,,16,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,prop hit for non primed words,,,7,0.291666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,priming score,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
